"No.","Time","Source","Destination","Protocol","Length","Info"
"35363","82.310362","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35364","82.310409","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35365","82.310409","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35366","82.310409","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35367","82.310409","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35368","82.310443","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35369","82.310443","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35370","82.310443","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35371","82.310443","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35372","82.310503","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35373","82.310503","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35374","82.310503","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35375","82.310503","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35376","82.310503","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35377","82.310510","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35378","82.310523","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35379","82.310523","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35380","82.310534","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35381","82.310542","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35382","82.310551","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35383","82.310561","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35384","82.310565","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35385","82.310571","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35386","82.310581","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35387","82.310592","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35388","82.310602","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35389","82.310613","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35390","82.310619","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35391","82.310625","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35392","82.310635","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35393","82.310645","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35394","82.310655","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35395","82.310666","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35396","82.310673","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35397","82.310677","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35398","82.310687","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35399","82.310699","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35400","82.310708","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35401","82.310742","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35402","82.310742","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35403","82.310742","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35404","82.310754","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35405","82.310761","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35406","82.310771","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35407","82.310781","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35408","82.310792","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35409","82.310803","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35410","82.310815","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35411","82.310826","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35412","82.310850","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35413","82.310850","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35414","82.310852","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35415","82.310860","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35416","82.310884","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35417","82.310884","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35418","82.310884","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35419","82.310898","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35420","82.310908","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35421","82.310920","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35422","82.310925","192.168.1.162","65.246.5.18","UDP","78","50854  >  443 Len=36"
"35423","82.310930","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
"35424","82.310940","65.246.5.18","192.168.1.162","UDP","1292","443  >  50854 Len=1250"
